transaction_date,transaction_time,customer_id,card_last4,merchant,merchant_category,amount,country,channel,is_fraud
2023-11-04,08:55:21,CUST-8956,8956,Merchant_65,travel,27.63,US,pos,0
2023-08-30,16:28:02,CUST-4249,4249,Merchant_320,cash,23.92,FR,mobile,0
2023-10-27,15:05:01,CUST-4164,4164,Merchant_50,cash,14.29,FR,web,0
2023-06-19,09:28:34,CUST-1916,1916,Merchant_212,entertainment,24.21,FR,web,0
2023-01-08,08:54:18,CUST-5374,5374,Merchant_287,utilities,15.93,GB,mobile,0
2023-07-26,10:22:49,CUST-7389,7389,Merchant_253,entertainment,58.91,DE,pos,0
2023-07-08,10:56:42,CUST-5892,5892,Merchant_161,healthcare,43.54,US,pos,0
2023-02-26,12:05:35,CUST-9702,9702,Merchant_333,restaurant,29.52,FR,pos,0
2023-11-14,14:59:46,CUST-7543,7543,Merchant_294,grocery,41.87,CA,mobile,0
2023-10-23,12:04:49,CUST-9702,9702,Merchant_338,travel,26.86,FR,pos,0
2023-11-08,11:51:30,CUST-1152,1152,Merchant_342,gas_station,92.28,CA,pos,0
2023-05-18,10:54:05,CUST-3607,3607,Merchant_220,healthcare,17.16,DE,web,0
2023-05-23,06:00:12,CUST-2375,2375,Merchant_28,restaurant,57.17,US,web,0
2023-10-25,12:21:05,CUST-8454,8454,Merchant_301,online,28.97,US,pos,0
2023-09-17,13:41:53,CUST-5451,5451,Merchant_190,gas_station,61.54,CA,pos,0
2023-08-09,21:34:49,CUST-2753,2753,Merchant_363,travel,24.49,AU,pos,0
2023-08-05,12:48:34,CUST-6753,6753,Merchant_349,entertainment,15.87,GB,web,0
2023-01-06,10:17:28,CUST-2638,2638,Merchant_137,utilities,49.31,DE,web,0
2023-04-25,06:59:26,CUST-3496,3496,Merchant_64,healthcare,25.89,MX,atm,0
2023-04-12,12:45:00,CUST-5011,5011,Merchant_124,retail,65.8,DE,mobile,0
2023-09-14,08:25:51,CUST-9004,9004,Merchant_390,entertainment,64.26,CA,pos,0
2023-12-11,12:40:35,CUST-9201,9201,Merchant_238,restaurant,72.34,CA,mobile,0
2023-10-07,15:16:40,CUST-1117,1117,Merchant_92,online,14.16,US,mobile,0
2023-11-26,12:13:18,CUST-1685,1685,Merchant_114,healthcare,31.8,DE,pos,0
2023-06-21,17:39:04,CUST-4598,4598,Merchant_142,entertainment,54.82,AU,pos,0
2023-02-19,11:36:03,CUST-2827,2827,Merchant_98,grocery,10.02,DE,pos,0
2023-04-29,04:23:14,CUST-5844,5844,Merchant_79,utilities,31.87,IN,pos,0
2023-09-08,12:38:02,CUST-7669,7669,Merchant_215,entertainment,63.52,DE,pos,0
2023-07-01,10:17:00,CUST-5564,5564,Merchant_77,retail,30.04,FR,pos,0
2023-03-24,21:00:43,CUST-6559,6559,Merchant_280,grocery,247.27,DE,pos,0
2023-11-28,18:47:44,CUST-6000,6000,Merchant_333,retail,15.31,AU,mobile,0
2023-03-02,09:48:03,CUST-6617,6617,Merchant_2,travel,20.0,AU,pos,0
2023-01-30,12:07:07,CUST-6363,6363,Merchant_212,gas_station,23.17,DE,pos,0
2023-12-25,18:44:31,CUST-6279,6279,Merchant_154,restaurant,292.98,US,pos,0
2023-10-22,08:39:10,CUST-5554,5554,Merchant_272,gas_station,61.34,US,pos,0
2023-01-26,09:08:25,CUST-9834,9834,Merchant_312,retail,158.52,AU,pos,0
2023-11-10,10:26:29,CUST-6425,6425,Merchant_330,healthcare,33.16,US,pos,0
2023-11-19,13:48:14,CUST-4335,4335,Merchant_218,online,11.06,GB,pos,0
2023-08-24,11:38:53,CUST-5471,5471,Merchant_287,travel,7.07,GB,pos,0
2023-11-30,08:18:25,CUST-1993,1993,Merchant_168,travel,22.77,AU,pos,0
2023-09-06,06:41:48,CUST-9518,9518,Merchant_303,utilities,16.79,US,web,0
2023-05-27,10:41:01,CUST-9830,9830,Merchant_338,cash,34.7,DE,pos,0
2023-10-16,14:48:09,CUST-2588,2588,Merchant_250,gas_station,14.36,AU,mobile,0
2023-08-06,04:26:51,CUST-2519,2519,Merchant_297,grocery,168.7,AU,mobile,0
2023-02-15,21:57:41,CUST-3496,3496,Merchant_265,entertainment,12.94,DE,pos,0
2023-09-30,19:55:39,CUST-1058,1058,Merchant_227,online,36.51,CA,web,0
2023-10-19,08:34:39,CUST-8305,8305,Merchant_330,gas_station,18.12,GB,pos,0
2023-05-13,20:11:12,CUST-7596,7596,Merchant_136,utilities,25.94,CA,mobile,0
2023-05-12,07:36:10,CUST-9201,9201,Merchant_81,restaurant,128.42,CA,mobile,0
2023-03-24,18:01:46,CUST-8962,8962,Merchant_107,grocery,11.18,US,pos,0
2023-07-20,12:19:34,CUST-7482,7482,Merchant_28,travel,78.56,BR,atm,0
2023-12-25,23:47:03,CUST-8238,8238,Merchant_387,gas_station,13.15,AU,mobile,0
2023-12-08,08:53:48,CUST-7596,7596,Merchant_108,entertainment,13.48,CA,pos,0
2023-05-08,09:34:18,CUST-3547,3547,Merchant_100,utilities,44.66,AU,pos,0
2023-07-11,15:49:23,CUST-9379,9379,Merchant_37,grocery,36.72,GB,mobile,0
2023-02-23,14:07:37,CUST-3286,3286,Merchant_199,travel,90.35,GB,pos,0
2023-09-29,10:56:00,CUST-3677,3677,Merchant_316,restaurant,8.52,GB,pos,0
2023-03-04,13:20:54,CUST-8373,8373,Merchant_342,gas_station,55.19,FR,pos,0
2023-11-18,14:49:58,CUST-8350,8350,Merchant_317,entertainment,16.48,US,pos,0
2023-02-16,10:24:30,CUST-9423,9423,Merchant_375,grocery,38.93,CA,pos,0
2023-04-01,08:22:35,CUST-4269,4269,Merchant_256,gas_station,29.32,DE,pos,0
2023-04-08,07:38:01,CUST-3184,3184,Merchant_175,healthcare,76.71,AU,mobile,0
2023-02-27,22:53:48,CUST-9856,9856,Merchant_57,utilities,89.67,DE,atm,0
2023-09-08,08:40:07,CUST-1434,1434,Merchant_14,gas_station,22.34,MX,pos,0
2023-01-11,10:02:05,CUST-5673,5673,Merchant_268,cash,111.27,BR,pos,0
2023-08-09,16:12:49,CUST-5471,5471,Merchant_118,gas_station,6.58,GB,mobile,0
2023-07-13,23:26:57,CUST-7528,7528,Merchant_28,utilities,30.34,FR,pos,0
2023-10-26,07:11:35,CUST-8144,8144,Merchant_265,travel,45.92,AU,pos,0
2023-08-16,15:50:26,CUST-7267,7267,Merchant_65,grocery,140.76,US,web,0
2023-10-01,08:29:56,CUST-2122,2122,Merchant_137,restaurant,42.67,CA,pos,0
2023-07-21,13:48:09,CUST-1333,1333,Merchant_96,entertainment,139.95,DE,pos,0
2023-06-17,10:52:55,CUST-5506,5506,Merchant_267,cash,28.45,CA,pos,0
2023-03-10,19:21:54,CUST-7216,7216,Merchant_84,retail,36.75,US,web,0
2023-05-11,09:32:19,CUST-7201,7201,Merchant_391,utilities,6.66,AU,pos,0
2023-06-21,11:45:02,CUST-7745,7745,Merchant_27,gas_station,20.0,US,pos,0
2023-07-03,12:57:18,CUST-7498,7498,Merchant_286,healthcare,75.36,DE,pos,0
2023-01-14,05:24:21,CUST-6862,6862,Merchant_231,cash,30.24,GB,web,0
2023-09-26,11:19:03,CUST-5941,5941,Merchant_131,gas_station,15.2,DE,pos,0
2023-06-22,10:10:34,CUST-4878,4878,Merchant_41,gas_station,40.07,DE,pos,0
2023-03-08,20:13:53,CUST-8373,8373,Merchant_30,gas_station,25.78,FR,pos,0
2023-11-20,11:35:28,CUST-1320,1320,Merchant_186,utilities,32.97,MX,pos,0
2023-03-26,13:10:35,CUST-6198,6198,Merchant_342,travel,13.27,DE,web,0
2023-07-08,15:38:36,CUST-8953,8953,Merchant_345,entertainment,75.99,GB,pos,0
2023-08-13,10:22:13,CUST-2188,2188,Merchant_11,utilities,291.87,US,pos,0
2023-09-23,14:09:07,CUST-8461,8461,Merchant_105,cash,32.69,CA,web,0
2023-09-18,07:30:19,CUST-8244,8244,Merchant_155,utilities,19.77,GB,web,0
2023-11-12,13:28:39,CUST-4571,4571,Merchant_279,utilities,61.64,CA,atm,0
2023-10-25,05:35:30,CUST-9379,9379,Merchant_217,online,200.46,CA,web,1
2023-07-17,12:27:20,CUST-7755,7755,Merchant_247,restaurant,40.92,US,web,0
2023-12-04,07:36:15,CUST-8573,8573,Merchant_160,utilities,52.03,US,pos,0
2023-09-24,10:19:39,CUST-1853,1853,Merchant_213,entertainment,36.62,FR,pos,0
2023-07-16,14:08:43,CUST-5345,5345,Merchant_194,gas_station,6.88,US,mobile,0
2023-04-13,15:45:42,CUST-6763,6763,Merchant_186,gas_station,273.75,CA,web,0
2023-02-09,14:03:39,CUST-1420,1420,Merchant_382,gas_station,73.72,DE,pos,0
2023-11-14,08:57:47,CUST-9835,9835,Merchant_288,online,116.39,CA,pos,0
2023-08-09,11:56:09,CUST-3200,3200,Merchant_238,travel,15.38,RU,pos,0
2023-12-03,13:49:19,CUST-8939,8939,Merchant_135,cash,5.85,GB,pos,0
2023-04-16,19:10:31,CUST-6085,6085,Merchant_158,online,28.19,GB,pos,0
2023-12-14,16:01:21,CUST-1188,1188,Merchant_316,healthcare,31.81,AU,web,0
2023-06-09,13:05:18,CUST-1936,1936,Merchant_291,entertainment,169.31,DE,web,0
2023-03-13,07:49:19,CUST-2489,2489,Merchant_396,online,5.67,AU,pos,0
2023-02-23,16:16:52,CUST-1128,1128,Merchant_87,cash,23.71,CA,web,0
2023-04-04,15:46:26,CUST-8433,8433,Merchant_199,gas_station,28.29,GB,web,0
2023-05-25,19:20:23,CUST-2375,2375,Merchant_76,restaurant,40.01,US,web,0
2023-07-14,09:23:40,CUST-1964,1964,Merchant_355,entertainment,33.33,DE,pos,0
2023-08-07,13:58:04,CUST-4501,4501,Merchant_113,entertainment,9.9,DE,atm,0
2023-09-05,13:16:59,CUST-2307,2307,Merchant_337,utilities,220.66,US,pos,0
2023-08-22,08:55:28,CUST-1320,1320,Merchant_388,online,41.85,FR,pos,0
2023-07-29,13:58:45,CUST-5506,5506,Merchant_345,cash,23.94,CA,web,0
2023-08-04,08:39:20,CUST-7396,7396,Merchant_219,gas_station,14.6,FR,pos,0
2023-06-18,08:27:50,CUST-4681,4681,Merchant_9,entertainment,5.93,DE,web,0
2023-04-19,08:22:56,CUST-2052,2052,Merchant_145,utilities,13.66,GB,pos,0
2023-01-13,16:04:32,CUST-5573,5573,Merchant_148,restaurant,22.83,US,mobile,0
2023-02-14,17:24:40,CUST-5554,5554,Merchant_198,entertainment,18.26,US,mobile,0
2023-05-10,06:59:05,CUST-5339,5339,Merchant_26,healthcare,20.39,FR,pos,0
2023-04-03,10:03:26,CUST-2964,2964,Merchant_292,restaurant,25.93,AU,atm,0
2023-11-13,09:06:07,CUST-1441,1441,Merchant_239,grocery,60.96,BR,pos,0
2023-06-01,17:22:27,CUST-1319,1319,Merchant_275,cash,38.87,US,web,0
2023-07-30,09:36:49,CUST-7570,7570,Merchant_295,retail,26.51,BR,pos,0
2023-03-05,08:17:20,CUST-2894,2894,Merchant_373,gas_station,5.73,DE,web,0
2023-03-12,06:42:33,CUST-1711,1711,Merchant_172,utilities,41.75,DE,web,0
2023-02-04,13:39:27,CUST-7548,7548,Merchant_219,restaurant,8.65,DE,mobile,0
2023-10-21,16:04:02,CUST-1475,1475,Merchant_309,utilities,10.6,MX,pos,0
2023-05-26,00:21:32,CUST-9837,9837,Merchant_207,restaurant,78.07,US,mobile,0
2023-09-19,06:59:46,CUST-4114,4114,Merchant_205,restaurant,8.02,JP,web,0
2023-02-23,18:42:44,CUST-5246,5246,Merchant_194,retail,64.49,FR,pos,0
2023-06-02,07:57:42,CUST-4258,4258,Merchant_120,travel,65.22,AU,pos,0
2023-08-06,10:05:19,CUST-4770,4770,Merchant_108,retail,24.17,FR,atm,0
2023-01-27,06:39:42,CUST-5198,5198,Merchant_200,utilities,16.81,CN,pos,0
2023-03-14,14:25:17,CUST-1711,1711,Merchant_218,utilities,26.64,DE,web,0
2023-05-13,12:54:56,CUST-3677,3677,Merchant_284,retail,8.75,FR,pos,0
2023-05-10,14:03:27,CUST-7882,7882,Merchant_187,cash,80.77,DE,pos,0
2023-03-30,05:55:57,CUST-7267,7267,Merchant_87,retail,192.94,US,atm,0
2023-12-20,12:02:05,CUST-9270,9270,Merchant_83,online,28.91,DE,pos,0
2023-01-19,07:46:26,CUST-7865,7865,Merchant_38,entertainment,164.63,DE,atm,0
2023-04-09,12:18:19,CUST-4978,4978,Merchant_298,grocery,36.64,FR,pos,0
2023-03-23,07:09:36,CUST-4593,4593,Merchant_92,retail,90.74,CN,atm,0
2023-09-16,08:53:58,CUST-9834,9834,Merchant_335,cash,51.77,AU,web,0
2023-01-25,00:34:50,CUST-8758,8758,Merchant_108,utilities,43.82,GB,web,0
2023-03-31,11:14:20,CUST-1672,1672,Merchant_96,healthcare,51.77,DE,atm,0
2023-11-20,11:38:31,CUST-1434,1434,Merchant_299,gas_station,21.57,DE,pos,0
2023-09-18,13:05:23,CUST-6111,6111,Merchant_366,utilities,16.79,CA,pos,0
2023-08-17,16:55:52,CUST-3503,3503,Merchant_321,entertainment,92.07,AU,pos,0
2023-07-31,09:16:32,CUST-3532,3532,Merchant_120,cash,32.89,US,mobile,0
2023-02-16,00:20:08,CUST-8119,8119,Merchant_64,healthcare,42.57,GB,mobile,0
2023-09-10,18:07:38,CUST-5342,5342,Merchant_245,cash,77.93,GB,pos,0
2023-01-07,11:09:54,CUST-8886,8886,Merchant_53,cash,63.71,FR,pos,0
2023-04-08,22:57:35,CUST-4613,4613,Merchant_82,cash,20.79,US,mobile,0
2023-05-05,11:18:39,CUST-7065,7065,Merchant_113,grocery,35.63,DE,atm,0
2023-03-05,01:15:08,CUST-2139,2139,Merchant_18,retail,51.65,CA,pos,0
2023-09-11,05:38:04,CUST-7755,7755,Merchant_299,restaurant,36.85,US,pos,0
2023-08-11,13:43:26,CUST-3608,3608,Merchant_216,healthcare,50.42,US,mobile,0
2023-04-11,05:50:57,CUST-4143,4143,Merchant_275,healthcare,43.56,DE,web,0
2023-03-22,08:17:36,CUST-8814,8814,Merchant_113,travel,30.15,FR,atm,0
2023-09-21,09:05:19,CUST-3417,3417,Merchant_285,online,31.43,CA,pos,0
2023-10-23,10:34:16,CUST-2674,2674,Merchant_187,restaurant,49.58,AU,web,0
2023-03-16,10:47:37,CUST-2983,2983,Merchant_327,grocery,15.3,FR,mobile,0
2023-07-16,21:14:07,CUST-7227,7227,Merchant_274,travel,16.9,US,pos,0
2023-11-12,08:19:12,CUST-9785,9785,Merchant_48,healthcare,154.91,CA,web,0
2023-04-21,19:07:25,CUST-5573,5573,Merchant_28,restaurant,37.13,US,mobile,0
2023-07-03,15:47:17,CUST-7054,7054,Merchant_68,retail,40.95,CN,mobile,0
2023-09-12,10:54:40,CUST-5033,5033,Merchant_72,healthcare,76.68,AU,pos,0
2023-05-23,17:32:01,CUST-7543,7543,Merchant_7,online,68.27,CA,web,0
2023-09-25,01:16:58,CUST-5803,5803,Merchant_32,gas_station,37.98,FR,mobile,0
2023-03-17,14:38:48,CUST-8478,8478,Merchant_108,travel,68.15,US,web,0
2023-06-08,14:36:56,CUST-2052,2052,Merchant_19,gas_station,17.5,GB,pos,0
2023-01-05,10:37:15,CUST-6425,6425,Merchant_380,utilities,22.77,US,web,0
2023-02-11,01:13:24,CUST-6421,6421,Merchant_131,restaurant,27.13,DE,pos,0
2023-11-06,15:56:18,CUST-9701,9701,Merchant_360,utilities,82.53,DE,pos,0
2023-08-30,08:43:33,CUST-9179,9179,Merchant_65,retail,47.97,US,pos,0
2023-12-03,08:20:09,CUST-4335,4335,Merchant_121,restaurant,17.82,CN,pos,0
2023-03-05,20:47:18,CUST-7498,7498,Merchant_372,healthcare,77.46,DE,pos,0
2023-05-26,17:41:44,CUST-5333,5333,Merchant_332,healthcare,13.29,DE,pos,0
2023-08-09,13:52:32,CUST-2519,2519,Merchant_368,healthcare,104.01,AU,mobile,0
2023-07-28,20:32:04,CUST-4923,4923,Merchant_334,gas_station,16.33,AU,pos,0
2023-08-28,17:59:33,CUST-7371,7371,Merchant_88,utilities,30.23,GB,pos,0
2023-11-14,07:05:58,CUST-3414,3414,Merchant_180,restaurant,28.17,AU,pos,0
2023-06-06,02:19:57,CUST-6413,6413,Merchant_330,retail,43.23,FR,web,0
2023-08-14,18:17:42,CUST-9031,9031,Merchant_150,healthcare,5.11,FR,pos,0
2023-08-31,06:54:54,CUST-7216,7216,Merchant_187,restaurant,28.23,US,web,0
2023-04-23,03:08:33,CUST-3547,3547,Merchant_397,gas_station,22.82,AU,pos,0
2023-06-19,12:37:20,CUST-8123,8123,Merchant_271,cash,63.29,US,atm,1
2023-11-06,11:56:47,CUST-3414,3414,Merchant_227,gas_station,18.15,AU,pos,0
2023-11-30,11:52:09,CUST-1320,1320,Merchant_251,utilities,36.36,DE,pos,0
2023-01-28,05:39:02,CUST-5920,5920,Merchant_17,entertainment,33.12,GB,web,0
2023-06-07,09:07:08,CUST-4593,4593,Merchant_190,utilities,91.2,AU,atm,0
2023-02-02,10:42:25,CUST-9938,9938,Merchant_310,restaurant,36.16,US,pos,0
2023-04-18,14:59:41,CUST-7049,7049,Merchant_192,restaurant,201.21,US,mobile,0
2023-12-22,09:17:30,CUST-1475,1475,Merchant_206,healthcare,7.13,AU,web,0
2023-11-05,04:22:39,CUST-4044,4044,Merchant_151,online,14.59,FR,pos,0
2023-09-22,06:58:23,CUST-5562,5562,Merchant_61,retail,39.94,CA,web,0
2023-07-28,13:24:36,CUST-7570,7570,Merchant_27,grocery,10.45,CA,pos,0
2023-09-13,16:35:49,CUST-3977,3977,Merchant_355,grocery,35.32,DE,pos,0
2023-11-21,10:01:49,CUST-4657,4657,Merchant_299,retail,73.56,AU,mobile,0
2023-08-09,16:11:12,CUST-5920,5920,Merchant_155,healthcare,61.09,GB,pos,0
2023-05-14,13:57:35,CUST-2104,2104,Merchant_42,cash,71.43,CA,web,0
2023-10-25,11:34:35,CUST-5349,5349,Merchant_392,utilities,12.98,DE,pos,0
2023-01-17,23:51:42,CUST-9201,9201,Merchant_193,restaurant,49.49,CA,web,0
2023-04-11,09:21:09,CUST-8811,8811,Merchant_257,grocery,108.03,CA,pos,0
2023-12-30,10:47:22,CUST-1241,1241,Merchant_14,online,7.94,DE,web,0
2023-12-09,07:41:11,CUST-8007,8007,Merchant_326,healthcare,25.09,DE,pos,0
2023-11-07,10:12:50,CUST-4566,4566,Merchant_218,grocery,18.46,FR,pos,0
2023-11-11,13:40:06,CUST-7455,7455,Merchant_60,healthcare,1.53,DE,mobile,0
2023-01-16,09:16:49,CUST-1823,1823,Merchant_47,restaurant,54.43,GB,pos,0
2023-02-26,00:55:53,CUST-2519,2519,Merchant_88,healthcare,87.76,AU,web,0
2023-07-07,12:16:39,CUST-8043,8043,Merchant_208,restaurant,42.69,MX,pos,0
2023-08-06,13:29:25,CUST-3091,3091,Merchant_238,cash,42.18,GB,web,0
2023-02-25,18:17:04,CUST-5010,5010,Merchant_371,cash,78.28,US,pos,0
2023-12-18,18:26:38,CUST-8179,8179,Merchant_287,utilities,39.54,GB,web,0
2023-09-05,17:44:27,CUST-1757,1757,Merchant_271,cash,69.14,DE,pos,0
2023-07-03,09:05:47,CUST-5533,5533,Merchant_369,utilities,51.98,CN,pos,1
2023-02-17,22:33:21,CUST-1207,1207,Merchant_55,retail,55.86,CA,pos,0
2023-03-26,16:39:58,CUST-3167,3167,Merchant_164,restaurant,82.23,GB,atm,0
2023-12-05,19:21:53,CUST-5262,5262,Merchant_201,healthcare,54.24,MX,pos,0
2023-06-07,11:43:03,CUST-6573,6573,Merchant_293,grocery,86.41,AU,pos,0
2023-06-28,16:38:20,CUST-1931,1931,Merchant_326,online,12.89,GB,pos,0
2023-07-05,10:18:47,CUST-6804,6804,Merchant_248,gas_station,15.63,AU,web,0
2023-06-01,18:46:48,CUST-4814,4814,Merchant_310,utilities,12.64,GB,pos,0
2023-06-19,16:09:21,CUST-3200,3200,Merchant_258,grocery,60.11,GB,pos,0
2023-01-02,09:47:47,CUST-7291,7291,Merchant_252,gas_station,20.42,CA,web,0
2023-03-08,10:05:11,CUST-2612,2612,Merchant_267,retail,37.44,DE,pos,0
2023-08-03,14:33:13,CUST-9289,9289,Merchant_293,online,34.7,DE,web,0
2023-12-22,10:38:36,CUST-1400,1400,Merchant_112,healthcare,17.91,US,atm,0
2023-11-09,07:00:44,CUST-3506,3506,Merchant_196,entertainment,22.5,DE,mobile,0
2023-03-31,16:26:42,CUST-8527,8527,Merchant_321,online,78.57,GB,pos,0
2023-07-29,15:33:13,CUST-3442,3442,Merchant_368,retail,38.16,US,web,0
2023-01-28,11:43:10,CUST-5844,5844,Merchant_318,entertainment,59.11,DE,mobile,0
2023-06-23,16:09:33,CUST-3579,3579,Merchant_77,healthcare,32.72,CA,web,0
2023-12-17,08:35:27,CUST-8508,8508,Merchant_14,restaurant,29.17,GB,web,0
2023-09-25,14:42:43,CUST-1409,1409,Merchant_313,cash,34.27,CN,pos,0
2023-03-21,09:55:40,CUST-4432,4432,Merchant_330,cash,48.73,FR,pos,0
2023-01-13,10:06:52,CUST-9938,9938,Merchant_180,online,65.61,US,pos,0
2023-03-03,11:21:37,CUST-3724,3724,Merchant_36,entertainment,42.68,CA,pos,0
2023-04-27,08:47:18,CUST-6539,6539,Merchant_140,healthcare,23.7,CA,pos,0
2023-05-19,13:29:58,CUST-8140,8140,Merchant_258,gas_station,103.04,GB,web,0
2023-10-07,05:15:36,CUST-4681,4681,Merchant_148,restaurant,7.4,DE,pos,0
2023-10-24,21:14:23,CUST-9308,9308,Merchant_370,gas_station,49.88,CA,pos,0
2023-07-10,15:41:43,CUST-8611,8611,Merchant_151,retail,39.7,AU,web,0
2023-05-13,13:42:02,CUST-2697,2697,Merchant_350,online,9.55,FR,pos,0
2023-03-27,10:03:25,CUST-5010,5010,Merchant_347,restaurant,85.78,US,web,0
2023-01-01,14:04:35,CUST-1711,1711,Merchant_227,utilities,23.37,DE,atm,0
2023-12-04,17:35:06,CUST-2084,2084,Merchant_43,healthcare,64.74,CA,pos,0
2023-06-28,09:15:46,CUST-5803,5803,Merchant_341,retail,96.61,FR,atm,0
2023-10-30,14:54:32,CUST-5114,5114,Merchant_380,retail,34.6,CA,mobile,0
2023-12-30,12:36:04,CUST-3607,3607,Merchant_302,restaurant,13.8,DE,web,0
2023-03-16,18:24:27,CUST-6718,6718,Merchant_51,restaurant,45.97,RU,pos,0
2023-12-22,07:00:06,CUST-5920,5920,Merchant_366,online,18.79,GB,mobile,0
2023-06-14,11:09:30,CUST-1434,1434,Merchant_353,retail,55.62,DE,web,0
2023-08-13,07:48:00,CUST-5681,5681,Merchant_367,entertainment,81.15,US,pos,0
2023-07-18,09:15:31,CUST-5342,5342,Merchant_389,restaurant,122.55,GB,web,0
2023-07-12,05:27:07,CUST-8179,8179,Merchant_305,entertainment,33.62,GB,atm,0
2023-07-10,16:45:31,CUST-1822,1822,Merchant_69,entertainment,17.62,CA,mobile,0
2023-10-01,21:17:10,CUST-2137,2137,Merchant_41,travel,12.07,DE,pos,0
2023-03-29,15:46:20,CUST-4185,4185,Merchant_100,gas_station,17.56,CA,web,0
2023-11-05,11:35:26,CUST-5073,5073,Merchant_234,gas_station,27.74,CA,web,0
2023-06-08,08:53:37,CUST-8177,8177,Merchant_146,grocery,27.96,DE,web,0
2023-05-08,18:44:42,CUST-7812,7812,Merchant_61,utilities,75.59,AU,pos,0
2023-09-30,23:12:26,CUST-7396,7396,Merchant_139,grocery,25.4,FR,web,0
2023-09-29,17:00:31,CUST-2235,2235,Merchant_247,restaurant,12.15,IN,pos,0
2023-02-26,13:08:12,CUST-1653,1653,Merchant_230,gas_station,66.91,US,pos,0
2023-08-20,14:17:44,CUST-5272,5272,Merchant_129,online,94.19,GB,pos,0
2023-05-21,09:40:13,CUST-7865,7865,Merchant_214,cash,608.86,GB,pos,0
2023-12-21,16:05:46,CUST-2163,2163,Merchant_148,grocery,75.08,CA,pos,0
2023-02-28,09:34:17,CUST-5462,5462,Merchant_392,utilities,30.16,US,pos,0
2023-10-01,14:23:44,CUST-6143,6143,Merchant_3,grocery,9.96,US,pos,0
2023-08-17,21:12:57,CUST-9445,9445,Merchant_186,entertainment,9.9,AU,mobile,0
2023-08-17,16:40:03,CUST-7572,7572,Merchant_220,online,40.52,FR,atm,0
2023-12-23,09:44:52,CUST-7624,7624,Merchant_11,online,51.89,US,web,0
2023-10-16,19:44:37,CUST-3085,3085,Merchant_330,grocery,25.02,AU,pos,0
2023-01-28,18:16:17,CUST-9669,9669,Merchant_115,gas_station,27.56,AU,web,0
2023-05-23,10:28:50,CUST-1333,1333,Merchant_366,online,68.31,DE,pos,0
